ID,DIR_NAME,STATUS,ELAPSED_MIN,BEST_AFFINITY,START_TIME,END_TIME
LIG_0001,LIG_0001__N-((3-(4-(benzyloxy)phenyl)-1-phenyl-1H-pyrazol-4yl)methyl)-L-methionin,DONE,1.69,-9.2314,2026-03-18 11:54:04,2026-03-18 11:55:45
LIG_0002,LIG_0002__N-((3-(4(benzyloxy)phenyl)-1-phenyl-1H-pyrazol-4yl)methyl)-L-phenylalanin,DONE,1.84,-10.9067,2026-03-18 11:55:45,2026-03-18 11:57:35
LIG_0003,LIG_0003__N-((3-(4(benzyloxy)phenyl)-1-phenyl-1H-pyrazol-4yl)methyl)-L-tryptophan,DONE,2.17,-10.6145,2026-03-18 11:57:35,2026-03-18 11:59:45
LIG_0004,LIG_0004__N-((3-(4(benzyloxy)phenyl)-1-phenyl-1H-pyrazol-4yl)methyl)-L-tyrosin,DONE,1.98,-10.2964,2026-03-18 11:59:45,2026-03-18 12:01:44
LIG_0005,LIG_0005__N-((3-(4-(benzyloxy)phenyl)-1-phenyl-1H-pyrazol-4yl)methyl)-L-leucin,DONE,1.63,-9.2091,2026-03-18 12:01:44,2026-03-18 12:03:22
LIG_0006,LIG_0006__N-((3-(4(benzyloxy)phenyl)-1-phenyl-1H-pyrazol-4yl)methyl)-L-isoleucin,DONE,1.63,-11.0237,2026-03-18 12:03:22,2026-03-18 12:05:00
LIG_0007,LIG_0007__N-((3-(4(benzyloxy)phenyl)-1-phenyl-1H-pyrazol-4yl)methyl)-L-alanin,DONE,1.36,-10.0068,2026-03-18 12:05:00,2026-03-18 12:06:22
LIG_0008,LIG_0008__3-(((3-(4-(benzyloxy)phenyl)-1-phenyl-1H-pyrazol-4yl)methyl)amino)benzoic_acid,DONE,1.53,-11.5326,2026-03-18 12:06:22,2026-03-18 12:07:53
LIG_0009,LIG_0009__N-((3-(4-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-methioni,DONE,1.97,-10.2023,2026-03-18 12:07:53,2026-03-18 12:09:52
LIG_0010,LIG_0010__N-((3-(4-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-phenylal,DONE,2.10,-10.7269,2026-03-18 12:09:52,2026-03-18 12:11:58
LIG_0011,LIG_0011__((3-(4-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-tryptophan,DONE,2.48,-11.6492,2026-03-18 12:11:58,2026-03-18 12:14:26
LIG_0012,LIG_0012__N-((3-(4-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-tyrosin,DONE,2.28,-10.8223,2026-03-18 12:14:26,2026-03-18 12:16:43
LIG_0013,LIG_0013__N-((3-(4-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-isoleuci,DONE,1.90,-10.4456,2026-03-18 12:16:43,2026-03-18 12:18:37
LIG_0014,LIG_0014__4-(((3-(4-(benzyloxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)amino)benz,DONE,1.78,-10.4635,2026-03-18 12:18:37,2026-03-18 12:20:24
LIG_0015,LIG_0015__N-((3-(4-((3-chlorobenzyl)oxy)phenyl)_-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl),DONE,2.11,-9.7261,2026-03-18 12:20:24,2026-03-18 12:22:31
LIG_0016,LIG_0016__N-((3-(4-((3-chlorobenzyl)oxy)phenyl)_-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl),DONE,2.60,-11.4776,2026-03-18 12:22:31,2026-03-18 12:25:07
LIG_0017,LIG_0017__N-((3-(4-((3-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.36,-11.1305,2026-03-18 12:25:07,2026-03-18 12:27:28
LIG_0018,LIG_0018__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.09,-10.5828,2026-03-18 12:27:28,2026-03-18 12:29:34
LIG_0019,LIG_0019__N-((3-(3-((3-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.65,-10.9061,2026-03-18 12:29:34,2026-03-18 12:31:13
LIG_0020,LIG_0020__N-((3-(3-((3-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.97,-10.3554,2026-03-18 12:31:13,2026-03-18 12:33:11
LIG_0021,LIG_0021__N-((3-(3-((3-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.18,-11.4209,2026-03-18 12:33:11,2026-03-18 12:35:22
